BrandID,BrandGUID,BrandDesc,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,MBrandID,DeptID
141,CC539461-D922-476B-B219-78CEA4AA6136,ARMANI MTM,NULL,NULL,NULL,NULL,10670,13
142,F407E7F3-B4C3-4377-B1A9-CB986A599E5C,ARMANI SHIRTS,NULL,NULL,NULL,NULL,10667,13
143,5C0763E7-E55D-4036-A855-D18B0EFE921D,ARMANI SOCKS,NULL,NULL,NULL,NULL,10584,16
144,4AAF40F9-CA75-44B7-B4FD-12A8735FF10C,ARMANI TIES,NULL,NULL,NULL,NULL,10668,13
145,D3C88843-9AFB-447F-9247-84495740C2C3,ARMANI UNDERWEAR,NULL,NULL,NULL,NULL,10585,16
146,583C9F7F-BA60-4EDF-A45B-EF107E492DC3,ARNAUD,NULL,NULL,NULL,NULL,11913,40
147,552B73D1-CBC9-443B-80B9-CFA01D0143F4,AROMALOGIC,NULL,NULL,NULL,NULL,12109,40
148,22137AB0-666B-4BF5-BD6E-11793E6FC318,ART LUNA,NULL,NULL,NULL,NULL,12106,40
149,947F801E-BB54-483E-90BA-359072CE5F15,ARTDATA,NULL,NULL,NULL,NULL,10843,21
151,A785C718-D06D-4452-9F22-B6F3D6973661,ARTFUL DODGER,NULL,NULL,NULL,NULL,13017,12
152,D4DD7252-B5F2-48E8-BB59-C9A2921D3023,ASH,NULL,NULL,NULL,NULL,12593,41
153,F805699D-3C6D-46E6-BCD7-E2492BEC096E,ASHLEY,NULL,NULL,NULL,NULL,10287,9
154,80F88612-A6A2-43D9-B867-02C8EC320E03,ASPECTS,NULL,NULL,NULL,NULL,11772,39
155,FB9C65A7-6F2A-49A1-98E7-5CDF0230EAC6,ASSASSIN,NULL,NULL,NULL,NULL,10657,17
156,59F30934-0BD2-4E9B-8F91-D58B50CCEC18,ASSASSIN,NULL,NULL,NULL,NULL,13106,45
157,EA2918C4-64CB-434F-AE1E-F0F1E37C1E8C,ASSYMETRY,NULL,NULL,NULL,NULL,11102,28
158,4B486F62-6016-4EE9-AB99-0C2FCE1B2B4A,ATHE,NULL,NULL,NULL,NULL,12184,7
159,DE36294E-6B93-4E3A-8177-2FB965FE0742,ATHE VANESSA BRUNO,NULL,NULL,NULL,NULL,10267,9
160,52839F2B-6767-459D-A497-B2FCB4AF256D,AU COURANT,NULL,NULL,NULL,NULL,11937,40
161,0F1B19C7-833A-40C9-A8F0-D86338BCDD36,AUBADE,NULL,NULL,NULL,NULL,12059,36
162,481F4D97-DEFD-4987-8112-90AED2F15C9D,AUSSIEBUM,NULL,NULL,NULL,NULL,13216,16
163,F02D6587-6F48-4C0E-A246-29746AFF4850,AUTHENTIQUE SUD,NULL,NULL,NULL,NULL,11435,34
164,6E526F07-BF9A-45ED-B8D5-4D9977B198EE,AZZEDINE ALAIA,NULL,NULL,NULL,NULL,10097,2
165,93F8E340-2985-4A7C-A4A0-E6458B5FC357,AZZEDINE ALAILA,NULL,NULL,NULL,NULL,11618,41
166,1AE280B2-EDA9-4440-8853-049CED037CA9,B 'SBEE,NULL,NULL,NULL,NULL,10441,12
167,3199273A-B2DE-42B1-83E8-47EEAD827ABA,BABETTEWASSERMAN,NULL,NULL,NULL,NULL,10619,17
168,C13E3A4B-1A54-4843-8DE1-10F75AB1EF12,BACAROLLE,NULL,NULL,NULL,NULL,12578,41
169,E0BF123F-BAD1-4DDB-A7A5-BAC8D6FF7E0C,BACIRUBATI,NULL,NULL,NULL,NULL,11532,36
170,34410C64-E6E4-4D63-B590-88E657368DD5,BAJRA,NULL,NULL,NULL,NULL,11041,27
